Title,Description,Length,Guests,Cabins,Crew,Year,Builder,Main_Image_URL,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,SKU,Base_Price,Old_Price,Quantity,Charter_Duration,Package_Type,Category,Card_Mark,Engine,Max_Speed,Cruising_Speed,Beam,Draft,Water_Toys,Additional_Info,External_ID
"Azure Princess","Luxurious motor yacht offering unparalleled comfort and elegance.",64,10,3,4,2018,"Sunseeker",https://example.com/yacht1-main.jpg,https://example.com/yacht1-1.jpg,https://example.com/yacht1-2.jpg,https://example.com/yacht1-3.jpg,https://example.com/yacht1-4.jpg,AP-W-BASIC,25000,28000,1,"Week","Basic","Motor Yachts","",2x MAN 1200HP,28,22,5.4,1.8,"Jet ski, SeaBob, Paddleboard, Snorkeling gear","Includes basic crew service and fuel for 4 hours daily",YT001
"Azure Princess",,,,,,,,,,,,,AP-W-PREMIUM,28000,32000,1,"Week","Premium","Motor Yachts",,,,,,,,"Includes full crew service, all fuel, and daily chef service",
"Azure Princess",,,,,,,,,,,,,AP-D-BASIC,4500,5000,1,"Day","Basic","Motor Yachts",,,,,,,,"Includes basic crew service and fuel for 4 hours",
"Blue Horizon","Sleek and modern yacht with spacious entertaining areas.",72,12,4,5,2020,"Ferretti",https://example.com/yacht2-main.jpg,https://example.com/yacht2-1.jpg,https://example.com/yacht2-2.jpg,https://example.com/yacht2-3.jpg,https://example.com/yacht2-4.jpg,BH-W-BASIC,30000,33000,1,"Week","Basic","Motor Yachts","NEW",2x MTU 1600HP,32,25,6.2,2.1,"Jet ski x2, SeaBob x2, Water slide, Paddleboard x4, Kayak x2","Includes basic crew service and fuel for 4 hours daily",YT002
"Blue Horizon",,,,,,,,,,,,,BH-W-PREMIUM,35000,38000,1,"Week","Premium","Motor Yachts",,,,,,,,"Includes full crew service, all fuel, and daily chef service",
"Blue Horizon",,,,,,,,,,,,,BH-D-BASIC,5500,6000,1,"Day","Basic","Motor Yachts",,,,,,,,"Includes basic crew service and fuel for 4 hours",
"Golden Voyager","Classic luxury yacht with timeless appeal and generous deck spaces.",68,8,4,4,2016,"Azimut",https://example.com/yacht3-main.jpg,https://example.com/yacht3-1.jpg,https://example.com/yacht3-2.jpg,https://example.com/yacht3-3.jpg,https://example.com/yacht3-4.jpg,GV-W-BASIC,27000,30000,1,"Week","Basic","Motor Yachts","",2x Caterpillar 1150HP,26,20,5.8,1.9,"Jet ski, Inflatable paddleboards, Fishing equipment, Tender","Includes basic crew service and fuel for 4 hours daily",YT003
"Golden Voyager",,,,,,,,,,,,,GV-W-PREMIUM,32000,35000,1,"Week","Premium","Motor Yachts",,,,,,,,"Includes full crew service, all fuel, and daily chef service",
"Golden Voyager",,,,,,,,,,,,,GV-D-BASIC,4800,5200,1,"Day","Basic","Motor Yachts",,,,,,,,"Includes basic crew service and fuel for 4 hours",
"Sea Breeze","Elegant sailing yacht offering a perfect blend of performance and comfort.",76,10,5,4,2019,"Nautor's Swan",https://example.com/yacht4-main.jpg,https://example.com/yacht4-1.jpg,https://example.com/yacht4-2.jpg,https://example.com/yacht4-3.jpg,https://example.com/yacht4-4.jpg,SB-W-BASIC,22000,24000,1,"Week","Basic","Sailing Yachts","",Yanmar 270HP,14,10,6.5,3.2,"Kayak x2, Paddleboard x2, Snorkeling gear, Fishing equipment","Includes basic crew service",YT004
"Sea Breeze",,,,,,,,,,,,,SB-W-PREMIUM,26000,28000,1,"Week","Premium","Sailing Yachts",,,,,,,,"Includes full crew service and daily chef service",
"Sea Breeze",,,,,,,,,,,,,SB-D-BASIC,4000,4400,1,"Day","Basic","Sailing Yachts",,,,,,,,"Includes basic crew service",
"Crystal Waters","Modern catamaran with exceptional stability and spacious layout.",56,12,6,3,2021,"Lagoon",https://example.com/yacht5-main.jpg,https://example.com/yacht5-1.jpg,https://example.com/yacht5-2.jpg,https://example.com/yacht5-3.jpg,https://example.com/yacht5-4.jpg,CW-W-BASIC,18000,20000,1,"Week","Basic","Catamarans","SALE",2x Volvo Penta 150HP,20,15,8.7,1.5,"Paddleboard x4, Kayak x2, Snorkeling gear, Floating mat","Includes basic crew service",YT005
"Crystal Waters",,,,,,,,,,,,,CW-W-PREMIUM,22000,24000,1,"Week","Premium","Catamarans",,,,,,,,"Includes full crew service and daily chef service",
"Crystal Waters",,,,,,,,,,,,,CW-D-BASIC,3500,4000,1,"Day","Basic","Catamarans",,,,,,,,"Includes basic crew service",
"Royal Splash","Performance-oriented sport yacht with contemporary styling.",82,8,4,5,2022,"Riva",https://example.com/yacht6-main.jpg,https://example.com/yacht6-1.jpg,https://example.com/yacht6-2.jpg,https://example.com/yacht6-3.jpg,https://example.com/yacht6-4.jpg,RS-W-BASIC,35000,38000,1,"Week","Basic","Motor Yachts","NEW",2x MTU 2000HP,38,30,6.8,2.2,"Jet ski x2, SeaBob x2, Water slide, E-foil, Tender with 115HP outboard","Includes basic crew service and fuel for 4 hours daily",YT006
"Royal Splash",,,,,,,,,,,,,RS-W-PREMIUM,40000,43000,1,"Week","Premium","Motor Yachts",,,,,,,,"Includes full crew service, all fuel, and daily chef service",
"Royal Splash",,,,,,,,,,,,,RS-D-BASIC,6500,7000,1,"Day","Basic","Motor Yachts",,,,,,,,"Includes basic crew service and fuel for 4 hours" 
